property_id,team_id,street_part,unit_part,city,state,zipcode,full_address,token_set,type_norm
302124b1-9325-46cb-a727-9c78efcce109,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
d83ec3b6-16ba-45f1-ac75-c41a375c145c,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
998ad559-10ff-4320-9fbe-184e0495117d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
03cb4171-b8e1-4dab-a2d3-db453f83c4d6,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
23ba1785-2592-49c2-96fc-9623bba835e8,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
6859b61d-0b9b-4869-8312-a40898564b52,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
cf483e05-f932-466a-bf6e-fce8d364838d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
3b5ff469-1769-484e-8100-2a1e749fb99e,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
b8a48294-2d7a-4e1d-bdd9-f4e63bdeb610,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
e05947fe-a90c-4461-816b-ba2094207aa5,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
9b806cdc-7b70-4deb-90eb-2879f9ed8a16,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
82b97445-444d-46e3-90ed-cb57f3df5221,21bf1151-5f2b-4f20-8674-8c7fc6581d99,6315 16th Street,,Phoenix,AZ,85016,6315 16th Street Phoenix AZ 85016,16th 6315 85016 az phoenix street,Apartment
cf41269a-3695-41e8-be01-982586ecdeef,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
2a22ad99-96fa-4529-b6e3-debcdd9aaf6d,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
a972e5fb-9eab-48f2-8a11-fc32d9fa9527,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
5f62c639-b290-4f7b-ad5e-9e33070274b2,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
1ac9751f-d1cf-41e6-a5ad-21188d8f9b53,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
1d87be18-4b31-408f-a172-066361949357,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
ebfd622c-6b23-46e3-be16-9e6918988a6c,21bf1151-5f2b-4f20-8674-8c7fc6581d99,948 Devonshire Avenue,,Phoenix,AZ,85014,948 Devonshire Avenue Phoenix AZ 85014,85014 948 avenue az devonshire phoenix,Apartment
c838b184-3444-4248-920c-1f4858c21f39,21bf1151-5f2b-4f20-8674-8c7fc6581d99,,,Phoenix,AZ,85027,Phoenix AZ 85027,85027 az phoenix,
